container,vessel,shipped_date,week,audited,success
,AIRLINES,24/11/2022 00:00,202247,0,
,BEAR MOUNTAIN BRIDGE,15/12/2022 00:00,202250,0,
,COLD STREAM,30/11/2022 00:00,202248,0,
,UNKNOWN,05/01/2023 00:00,202301,0,
-,UNKNOWN,30/12/2022 00:00,202252,0,
.,AIRLINES,16/11/2022 00:00,202246,1,1
.,COLD STREAM,30/11/2022 00:00,202248,1,1
.,UNKNOWN,18/12/2022 00:00,202251,1,1
020-4815032,UNKNOWN,31/01/2023 00:00,202305,0,
02028456341,UNKNOWN,28/02/2023 00:00,202309,0,
0243000118,BALTIC LORD,25/01/2023 00:00,202304,0,
0243000318,BALTIC SUMMER,14/02/2023 00:00,202307,0,
1176-571099,AIRLINES,28/01/2023 00:00,202304,0,
125-5253378,AIRLINES,26/01/2023 00:00,202304,0,
125-5253779,AIRLINES,14/02/2023 00:00,202307,0,
157-7037 03,AIRLINES,17/12/2022 00:00,202250,0,
157-7070508,AIRLINES,21/02/2023 00:00,202308,0,
157-7261774,AIRLINES,04/02/2023 00:00,202305,0,
157-7323397,AIRLINES,08/01/2023 00:00,202302,0,
157-7324030,AIRLINES,29/12/2022 00:00,202252,0,
157-7612230,AIRLINES,31/01/2023 00:00,202305,0,
157-7700618,AIRLINES,24/02/2023 00:00,202308,0,
157-7700623,AIRLINES,21/02/2023 00:00,202308,0,
157-7735942,AIRLINES,01/01/2023 00:00,202301,0,
157-7736053,AIRLINES,06/01/2023 00:00,202301,0,
157-7736231,AIRLINES,16/02/2023 00:00,202307,0,
157-7742805,AIRLINES,06/02/2023 00:00,202306,0,
157-7742847,AIRLINES,18/01/2023 00:00,202303,0,
157-7773394,AIRLINES,18/02/2023 00:00,202307,0,
157-7773967,AIRLINES,10/12/2022 00:00,202249,0,
157-7773984,AIRLINES,11/01/2023 00:00,202302,0,
157-8043447,AIRLINES,30/12/2022 00:00,202252,0,
157-8047162,AIRLINES,22/02/2023 00:00,202308,0,
157-8393892,AIRLINES,22/02/2023 00:00,202308,0,
157-8578871,AIRLINES,01/02/2023 00:00,202305,0,
157-8578872,AIRLINES,02/02/2023 00:00,202305,0,
157-8578878,AIRLINES,06/01/2023 00:00,202301,0,
157-8578884,AIRLINES,07/01/2023 00:00,202301,0,
157-8578897,AIRLINES,11/01/2023 00:00,202302,0,
157-8578906,AIRLINES,03/02/2023 00:00,202305,0,
157-8578908,AIRLINES,16/12/2022 00:00,202250,0,
157-8578942,AIRLINES,12/01/2023 00:00,202302,0,
157-8578952,AIRLINES,13/01/2023 00:00,202302,0,
157-8723641,AIRLINES,05/01/2023 00:00,202301,0,
157-8723730,AIRLINES,03/02/2023 00:00,202305,0,
157-8723731,AIRLINES,13/02/2023 00:00,202307,0,
157-8723736,AIRLINES,05/02/2023 00:00,202306,0,
